row,col,bit
0,0,blank
0,1,blank
0,2,blank
0,3,blank
0,4,blank
0,5,blank
0,6,blank
0,7,blank
0,8,0
0,9,0
0,10,0
0,11,0
0,12,blank
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,blank
0,35,0
0,36,0
0,37,blank
0,38,blank
0,39,blank
0,40,0
0,41,0
0,42,blank
0,43,blank
0,44,blank
0,45,0
0,46,blank
0,47,0
0,48,0
1,0,blank
1,1,blank
1,2,blank
1,3,blank
1,4,blank
1,5,blank
1,6,blank
1,7,blank
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,blank
1,38,blank
1,39,blank
1,40,0
1,41,blank
1,42,blank
1,43,blank
1,44,0
1,45,blank
1,46,0
1,47,0
1,48,blank
2,0,blank
2,1,blank
2,2,blank
2,3,0
2,4,blank
2,5,0
2,6,blank
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0
2,31,0
2,32,0
2,33,0
2,34,blank
2,35,0
2,36,0
2,37,blank
2,38,blank
2,39,blank
2,40,blank
2,41,blank
2,42,blank
2,43,blank
2,44,blank
2,45,0
2,46,0
2,47,0
2,48,blank
3,0,blank
3,1,blank
3,2,blank
3,3,0
3,4,blank
3,5,blank
3,6,0
3,7,blank
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
3,25,0
3,26,0
3,27,0
3,28,0
3,29,0
3,30,0
3,31,0
3,32,0
3,33,0
3,34,0
3,35,0
3,36,0
3,37,blank
3,38,0
3,39,0
3,40,0
3,41,blank
3,42,blank
3,43,blank
3,44,blank
3,45,0
3,46,0
3,47,0
3,48,blank
4,0,blank
4,1,0
4,2,blank
4,3,0
4,4,0
4,5,blank
4,6,0
4,7,blank
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
4,25,0
4,26,0
4,27,0
4,28,0
4,29,0
4,30,0
4,31,0
4,32,0
4,33,0
4,34,0
4,35,0
4,36,0
4,37,0
4,38,blank
4,39,blank
4,40,blank
4,41,0
4,42,0
4,43,0
4,44,0
4,45,0
4,46,blank
4,47,blank
4,48,0
5,0,blank
5,1,1
5,2,blank
5,3,blank
5,4,0
5,5,0
5,6,1
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
5,18,0
5,19,0
5,20,0
5,21,0
5,22,0
5,23,0
5,24,0
5,25,0
5,26,0
5,27,0
5,28,0
5,29,0
5,30,0
5,31,0
5,32,0
5,33,0
5,34,0
5,35,0
5,36,0
5,37,blank
5,38,blank
5,39,0
5,40,0
5,41,0
5,42,0
5,43,1
5,44,0
5,45,blank
5,46,blank
5,47,blank
5,48,blank
6,0,blank
6,1,blank
6,2,1
6,3,blank
6,4,0
6,5,0
6,6,0
6,7,blank
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,0
6,14,0
6,15,0
6,16,0
6,17,0
6,18,0
6,19,0
6,20,0
6,21,blank
6,22,0
6,23,1
6,24,0
6,25,1
6,26,0
6,27,blank
6,28,1
6,29,0
6,30,0
6,31,0
6,32,0
6,33,0
6,34,0
6,35,0
6,36,0
6,37,0
6,38,0
6,39,blank
6,40,0
6,41,0
6,42,0
6,43,1
6,44,0
6,45,0
6,46,0
6,47,blank
6,48,0
7,0,1
7,1,0
7,2,blank
7,3,blank
7,4,blank
7,5,1
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
7,11,0
7,12,0
7,13,0
7,14,0
7,15,0
7,16,0
7,17,0
7,18,0
7,19,1
7,20,0
7,21,1
7,22,0
7,23,1
7,24,0
7,25,1
7,26,blank
7,27,1
7,28,1
7,29,1
7,30,0
7,31,0
7,32,0
7,33,0
7,34,0
7,35,0
7,36,0
7,37,0
7,38,0
7,39,0
7,40,blank
7,41,blank
7,42,1
7,43,blank
7,44,0
7,45,0
7,46,0
7,47,blank
7,48,blank
8,0,blank
8,1,blank
8,2,blank
8,3,blank
8,4,blank
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0
8,13,0
8,14,0
8,15,blank
8,16,0
8,17,1
8,18,0
8,19,1
8,20,0
8,21,1
8,22,0
8,23,1
8,24,0
8,25,1
8,26,1
8,27,1
8,28,1
8,29,1
8,30,1
8,31,blank
8,32,0
8,33,0
8,34,0
8,35,0
8,36,0
8,37,0
8,38,0
8,39,0
8,40,0
8,41,0
8,42,0
8,43,1
8,44,blank
8,45,0
8,46,blank
8,47,blank
8,48,0
9,0,0
9,1,blank
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,0
9,11,0
9,12,0
9,13,0
9,14,0
9,15,1
9,16,1
9,17,1
9,18,0
9,19,1
9,20,0
9,21,1
9,22,0
9,23,1
9,24,0
9,25,1
9,26,1
9,27,1
9,28,1
9,29,1
9,30,1
9,31,1
9,32,1
9,33,0
9,34,0
9,35,0
9,36,0
9,37,0
9,38,0
9,39,0
9,40,0
9,41,0
9,42,blank
9,43,1
9,44,0
9,45,blank
9,46,blank
9,47,0
9,48,1
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,blank
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
10,11,0
10,12,0
10,13,0
10,14,1
10,15,1
10,16,1
10,17,1
10,18,0
10,19,1
10,20,0
10,21,1
10,22,0
10,23,1
10,24,0
10,25,1
10,26,1
10,27,1
10,28,1
10,29,1
10,30,1
10,31,1
10,32,1
10,33,0
10,34,0
10,35,0
10,36,0
10,37,0
10,38,0
10,39,0
10,40,blank
10,41,0
10,42,blank
10,43,0
10,44,blank
10,45,0
10,46,0
10,47,0
10,48,0
11,0,0
11,1,0
11,2,0
11,3,blank
11,4,0
11,5,0
11,6,0
11,7,0
11,8,0
11,9,0
11,10,0
11,11,0
11,12,0
11,13,1
11,14,0
11,15,0
11,16,1
11,17,1
11,18,overlay
11,19,1
11,20,0
11,21,1
11,22,0
11,23,1
11,24,0
11,25,1
11,26,1
11,27,1
11,28,1
11,29,1
11,30,1
11,31,blank
11,32,overlay
11,33,0
11,34,0
11,35,0
11,36,0
11,37,0
11,38,0
11,39,0
11,40,0
11,41,0
11,42,blank
11,43,0
11,44,0
11,45,1
11,46,1
11,47,blank
11,48,0
12,0,0
12,1,0
12,2,0
12,3,1
12,4,0
12,5,blank
12,6,blank
12,7,0
12,8,0
12,9,0
12,10,0
12,11,0
12,12,0
12,13,1
12,14,1
12,15,1
12,16,0
12,17,0
12,18,overlay
12,19,1
12,20,overlay
12,21,0
12,22,0
12,23,overlay
12,24,overlay
12,25,1
12,26,1
12,27,1
12,28,1
12,29,0
12,30,0
12,31,1
12,32,1
12,33,0
12,34,blank
12,35,blank
12,36,1
12,37,1
12,38,0
12,39,blank
12,40,1
12,41,1
12,42,1
12,43,blank
12,44,1
12,45,blank
12,46,blank
12,47,0
12,48,1
13,0,blank
13,1,0
13,2,blank
13,3,blank
13,4,0
13,5,1
13,6,1
13,7,1
13,8,1
13,9,1
13,10,blank
13,11,0
13,12,0
13,13,blank
13,14,1
13,15,1
13,16,1
13,17,1
13,18,overlay
13,19,1
13,20,overlay
13,21,1
13,22,0
13,23,1
13,24,0
13,25,1
13,26,1
13,27,1
13,28,1
13,29,1
13,30,1
13,31,1
13,32,1
13,33,0
13,34,1
13,35,0
13,36,1
13,37,1
13,38,1
13,39,1
13,40,1
13,41,1
13,42,blank
13,43,1
13,44,1
13,45,0
13,46,0
13,47,blank
13,48,1
14,0,blank
14,1,0
