bit_index,grid_row,grid_col,pixel_y,pixel_x,sample_value,threshold,bit
0,1,0,5,48,31.0,30.19415839130547,1
1,1,1,5,100,13.0,30.19415839130547,0
2,1,2,5,152,17.0,30.19415839130547,0
3,1,3,5,204,14.0,30.19415839130547,0
4,1,4,5,256,21.0,30.19415839130547,0
5,1,5,5,308,16.0,30.19415839130547,0
6,1,6,5,360,26.0,30.19415839130547,0
7,1,7,5,412,19.0,30.19415839130547,0
8,1,8,5,464,25.0,30.19415839130547,0
9,1,9,5,516,26.0,30.19415839130547,0
10,1,10,5,568,64.0,30.19415839130547,1
11,1,11,5,620,31.0,30.19415839130547,1
12,1,12,5,672,55.0,30.19415839130547,1
13,1,13,5,724,41.0,30.19415839130547,1
14,1,14,5,776,63.0,30.19415839130547,1
15,1,15,5,828,59.0,30.19415839130547,1
16,1,16,5,880,20.0,30.19415839130547,0
17,1,17,5,932,56.0,30.19415839130547,1
18,1,18,5,984,13.0,30.19415839130547,0
19,1,19,5,1036,44.0,30.19415839130547,1
20,1,20,5,1088,11.0,30.19415839130547,0
21,1,21,5,1140,26.0,30.19415839130547,0
22,1,22,5,1192,8.0,30.19415839130547,0
23,2,0,10,48,30.0,30.19415839130547,0
24,2,1,10,100,13.0,30.19415839130547,0
25,2,2,10,152,27.0,30.19415839130547,0
26,2,3,10,204,18.0,30.19415839130547,0
27,2,4,10,256,63.0,30.19415839130547,1
28,2,5,10,308,18.0,30.19415839130547,0
29,2,6,10,360,33.0,30.19415839130547,1
30,2,7,10,412,24.0,30.19415839130547,0
31,2,8,10,464,26.0,30.19415839130547,0
32,2,9,10,516,32.0,30.19415839130547,1
33,2,10,10,568,43.0,30.19415839130547,1
34,2,11,10,620,51.0,30.19415839130547,1
35,2,12,10,672,36.0,30.19415839130547,1
36,2,13,10,724,36.0,30.19415839130547,1
37,2,14,10,776,37.0,30.19415839130547,1
38,2,15,10,828,41.0,30.19415839130547,1
39,2,16,10,880,29.0,30.19415839130547,0
40,2,17,10,932,27.0,30.19415839130547,0
41,2,18,10,984,17.0,30.19415839130547,0
42,2,19,10,1036,21.0,30.19415839130547,0
43,2,20,10,1088,18.0,30.19415839130547,0
44,2,21,10,1140,19.0,30.19415839130547,0
45,2,22,10,1192,10.0,30.19415839130547,0
46,3,0,15,48,51.0,30.19415839130547,1
47,3,1,15,100,13.0,30.19415839130547,0
48,3,2,15,152,23.0,30.19415839130547,0
49,3,3,15,204,16.0,30.19415839130547,0
50,3,4,15,256,34.0,30.19415839130547,1
