row,col
0,3
0,18
0,37
7,25
7,26
9,32
10,33
12,14
13,14
13,25
13,27
14,14
14,19
14,20
14,25
14,27
15,25
15,27
16,11
16,25
16,27
17,9
17,12
17,25
17,27
17,37
17,38
18,25
18,27
19,23
19,25
20,23
20,25
20,26
20,27
21,10
21,23
21,25
22,23
22,25
23,23
23,24
23,25
24,23
24,25
24,39
24,41
25,19
25,20
25,23
25,25
25,30
25,40
26,15
26,23
26,25
26,43
26,44
27,23
27,25
27,32
27,40
27,44
27,48
28,23
28,25
28,32
28,44
29,19
29,20
29,23
29,25
29,27
30,23
30,25
30,48
31,23
31,25
31,47
32,23
32,33
32,34
33,23
34,2
34,13
34,23
34,36
34,47
35,40
37,3
37,19
37,20
37,44
38,40
39,18
39,47
40,18
40,37
41,18
42,18
42,43
43,3
43,18
43,20
43,21
43,22
43,33
43,38
46,9
46,26
46,43
47,38
47,41
48,38
48,43
49,11
50,43
51,14
52,38
53,38
