row,col
0,1
0,6
0,11
0,20
0,23
0,25
0,34
0,35
0,40
0,42
0,46
1,2
1,4
1,5
1,8
1,22
1,23
1,39
2,6
2,18
2,27
2,40
2,44
2,47
3,9
3,15
3,19
3,20
3,22
3,23
3,43
4,7
4,12
4,15
4,16
4,18
4,20
4,23
4,35
4,43
4,44
4,47
5,1
5,8
5,9
5,10
5,21
5,28
5,29
5,30
5,41
5,43
6,4
6,5
6,6
6,14
6,15
6,19
6,20
6,31
6,47
7,1
7,5
7,10
7,11
7,15
7,23
7,25
7,33
7,35
7,37
7,41
8,3
8,5
8,6
8,7
8,10
8,20
8,33
8,43
8,44
8,47
9,0
9,3
9,9
9,38
9,40
9,41
9,45
10,0
10,8
10,23
10,29
10,31
10,36
10,37
10,40
10,42
10,45
11,1
11,27
11,29
11,30
11,31
11,33
11,35
11,40
12,3
12,4
12,9
12,11
12,23
12,24
12,27
12,30
12,33
12,34
12,40
12,43
12,47
13,1
13,2
13,7
13,10
13,12
13,20
13,23
13,24
13,26
13,28
13,30
13,31
13,34
13,45
14,0
14,6
14,12
14,24
14,26
14,27
14,28
14,31
14,33
14,44
14,45
15,2
15,10
15,12
15,24
15,26
15,41
15,42
16,2
16,10
16,12
16,18
16,19
16,24
16,25
16,26
16,31
16,33
16,41
16,43
16,45
17,1
17,8
17,12
17,22
17,24
17,26
17,34
17,37
17,42
17,45
17,46
18,2
18,3
18,22
18,24
18,30
18,33
18,44
18,46
19,4
19,7
19,8
19,22
19,24
19,42
19,47
20,2
20,6
20,7
20,22
20,24
20,42
20,44
20,46
21,0
21,2
21,3
21,4
21,22
21,24
21,42
21,43
22,2
22,8
22,20
22,22
22,24
23,2
23,3
23,20
23,22
23,24
24,0
24,2
24,20
24,22
25,18
25,19
25,20
25,21
25,22
25,24
25,46
26,20
26,22
26,24
26,44
26,45
26,46
27,0
27,20
27,22
27,24
28,16
28,17
28,20
28,22
28,23
28,24
28,43
29,20
29,22
29,24
29,43
30,0
30,2
30,20
30,22
30,24
30,26
30,40
31,18
31,19
31,20
31,22
31,24
31,30
31,32
31,40
32,0
32,2
32,20
32,22
32,31
32,38
32,44
33,3
33,20
33,22
33,46
34,0
34,3
34,4
34,20
34,21
34,22
34,33
34,44
35,2
35,20
35,45
36,0
36,1
36,3
36,12
36,13
36,22
36,40
36,43
36,45
36,46
37,0
37,2
37,45
38,0
38,1
38,2
38,4
38,30
38,44
38,45
38,46
39,0
39,2
39,30
39,47
40,0
40,1
40,3
40,20
40,30
40,45
40,46
41,1
41,6
41,7
41,8
41,39
41,46
42,2
42,4
42,8
42,23
42,33
42,38
42,40
42,41
43,5
43,33
43,38
43,39
43,46
44,1
44,37
44,38
44,42
45,3
45,6
45,7
45,8
45,27
45,33
45,38
45,42
46,10
46,11
46,23
46,27
46,33
46,35
46,37
46,38
46,39
47,2
47,3
47,4
47,6
47,21
47,23
47,33
48,1
48,3
48,4
48,23
48,35
48,43
49,0
49,2
49,4
49,9
49,31
49,39
50,25
50,37
51,1
51,11
51,13
51,19
52,14
52,25
52,42
