row,col
15,21
38,23
49,23
36,53
36,62
47,62
17,58
28,58
36,71
48,36
17,67
29,32
48,45
29,41
40,41
48,54
21,37
29,50
40,50
41,24
44,20
41,33
10,36
10,45
25,43
10,54
14,15
22,28
43,60
22,37
14,33
22,46
15,16
16,70
24,83
35,83
16,79
9,49
17,62
28,62
9,58
48,40
40,36
48,49
21,32
29,45
40,45
48,58
21,41
29,54
40,54
41,19
21,50
41,28
33,24
44,24
41,37
52,37
33,33
44,33
39,76
10,49
31,81
14,10
10,58
23,77
14,19
22,32
14,28
13,60
14,37
15,11
16,74
28,39
36,52
36,61
48,35
17,66
9,62
21,27
48,53
29,49
40,49
21,45
27,79
40,58
41,23
21,54
44,19
30,84
41,32
33,28
39,62
44,28
33,37
39,71
44,37
20,67
25,33
31,67
12,63
51,45
25,42
32,41
43,41
32,50
43,50
23,81
13,46
43,59
14,32
16,51
36,29
16,60
17,25
13,73
36,38
16,69
28,34
24,82
35,82
16,78
28,43
28,61
48,39
21,22
50,58
21,49
39,48
44,23
31,53
20,62
25,28
31,62
12,58
23,58
39,75
43,36
39,84
12,67
13,32
23,67
24,32
31,80
23,76
13,41
24,41
14,18
16,37
32,45
13,50
24,50
32,54
32,63
35,41
13,59
35,50
36,24
36,33
47,33
16,73
28,38
36,51
48,34
21,26
42,58
42,67
39,43
30,83
20,66
31,66
12,62
23,62
13,36
32,49
16,32
23,80
13,45
24,45
32,58
16,41
35,45
13,54
24,54
35,54
16,50
36,19
43,58
36,28
47,28
16,59
17,24
36,37
47,37
16,68
17,33
28,33
28,42
15,72
15,81
42,44
21,21
19,60
42,62
42,71
39,47
31,52
31,61
43,26
16,18
12,66
23,66
23,75
13,40
13,49
24,49
35,49
16,45
22,79
34,81
35,58
47,23
16,54
36,32
47,32
17,28
17,37
28,37
15,67
9,33
15,76
27,41
42,39
27,50
39,24
39,33
11,60
39,42
42,75
31,38
16,13
16,22
34,58
13,35
34,67
45,67
13,44
16,40
22,74
46,41
16,49
46,50
37,81
15,62
26,62
7,58
18,58
15,71
18,67
19,32
15,80
27,45
38,82
42,34
8,41
19,41
27,54
11,37
30,41
8,50
19,50
30,50
39,19
39,28
19,59
20,24
39,37
20,33
31,33
39,46
12,29
23,29
31,51
33,70
33,79
43,25
16,17
34,53
25,84
45,53
22,60
34,62
45,62
37,58
34,71
46,36
37,67
38,32
22,78
34,80
46,45
49,32
38,41
49,41
46,54
38,50
49,50
42,20
18,62
15,75
8,36
19,36
26,84
11,32
27,49
8,45
19,45
27,58
11,41
30,45
8,54
19,54
30,54
11,50
39,23
39,32
20,28
31,28
11,59
23,24
39,41
20,37
31,37
12,33
23,33
43,20
45,39
16,21
37,62
37,71
38,36
49,36
46,49
38,45
49,45
46,58
38,54
49,54
42,24
15,70
50,37
18,66
42,33
48,67
19,40
42,42
11,36
8,49
19,49
30,49
11,45
29,81
30,58
41,46
11,54
20,32
31,32
33,51
12,28
23,28
12,37
23,37
10,67
33,69
41,82
45,34
22,41
34,43
16,16
22,50
45,52
22,59
34,61
45,61
15,20
38,22
37,66
22,77
38,49
49,49
42,19
28,84
50,32
42,28
48,62
29,58
43,45
40,67
11,40
40,76
41,41
52,41
11,49
41,50
45,20
10,62
22,36
45,38
22,45
14,41
22,54
14,50
15,15
15,33
26,33
28,79
42,23
29,62
40,62
21,58
11,35
40,71
41,36
21,67
33,32
29,80
41,45
44,32
52,36
33,41
44,41
41,54
25,37
52,45
33,50
44,50
34,24
45,24
37,20
33,68
34,33
45,33
34,42
14,36
22,49
45,51
14,45
15,10
22,58
14,54
15,19
38,21
15,28
36,60
15,37
26,37
18,33
48,52
48,61
21,62
40,75
33,36
44,36
41,49
25,32
33,45
44,45
41,58
25,41
33,54
44,54
45,19
25,50
14,13
34,28
45,28
37,24
22,35
34,37
45,37
32,67
37,33
43,67
14,49
15,14
16,77
15,32
26,32
18,28
28,60
18,37
48,38
36,82
28,78
39,74
33,49
39,83
44,49
25,45
45,23
25,54
14,17
37,19
23,84
45,32
32,62
37,28
43,62
13,58
24,58
43,71
13,67
24,67
32,80
15,9
35,67
36,41
47,41
15,18
16,72
24,85
36,50
47,50
51,36
28,46
36,59
40,20
47,68
48,33
21,25
48,51
42,84
10,33
33,35
14,12
23,79
23,88
35,53
32,66
13,62
24,62
35,62
16,58
36,27
35,71
43,75
43,84
15,13
16,67
17,32
28,32
36,45
16,76
17,41
28,41
36,54
9,37
47,45
17,50
28,50
47,54
48,28
28,59
40,24
48,37
21,20
29,33
40,33
31,60
10,37
39,73
12,65
23,65
13,39
14,16
13,48
43,61
16,53
24,66
36,31
16,62
17,27
36,40
16,71
28,36
36,49
9,32
47,49
17,45
28,45
36,58
9,41
47,58
17,54
28,54
40,19
9,50
48,23
48,32
40,28
21,24
29,37
40,37
21,33
43,49
41,20
39,50
42,83
10,32
13,34
31,82
14,11
23,78
13,43
16,39
13,61
36,26
16,66
46,67
16,75
28,40
17,49
28,49
9,45
15,79
38,81
40,23
9,54
21,19
40,32
21,28
27,62
8,58
19,58
39,36
19,67
27,80
39,45
20,41
31,41
39,54
20,50
31,50
31,59
43,24
39,72
51,37
35,20
32,33
43,33
12,64
23,64
14,6
13,38
13,47
16,52
36,30
16,61
17,26
46,62
36,39
38,58
49,58
28,35
38,67
49,67
28,44
15,74
50,41
42,37
15,83
50,50
42,46
21,23
19,53
8,62
19,62
30,62
11,58
42,43
27,84
11,67
12,32
23,32
20,45
31,45
39,49
12,41
23,41
20,54
31,54
39,58
12,50
23,50
31,63
32,28
39,67
43,19
35,24
43,28
32,37
16,20
43,37
13,33
24,33
35,33
51,41
13,42
16,38
36,25
38,62
49,62
38,71
50,36
42,32
15,78
50,45
19,39
42,41
50,54
42,50
11,53
19,66
11,62
39,44
31,40
20,49
31,49
12,45
23,45
20,58
31,58
43,23
12,54
23,54
35,19
32,32
16,15
23,63
13,28
24,28
35,28
34,60
43,32
13,37
24,37
35,37
16,33
22,67
45,60
22,76
14,72
36,20
15,73
42,36
15,82
50,49
42,45
11,39
19,52
42,54
19,61
11,66
12,31
23,31
41,67
53,41
12,49
23,49
43,27
16,19
35,32
16,28
22,62
14,58
14,67
22,80
15,41
26,41
15,50
26,50
27,33
15,77
19,38
42,40
11,34
42,49
11,61
41,62
31,39
33,58
44,58
41,71
53,36
33,67
34,32
44,67
53,45
34,41
45,41
37,37
16,14
22,48
34,50
45,50
16,23
34,59
45,59
38,20
22,66
46,33
14,62
22,75
14,71
22,84
18,32
15,45
26,45
7,41
18,41
15,54
26,54
7,50
18,50
47,36
19,24
48,60
27,37
19,33
30,33
27,46
42,35
43,54
11,38
39,20
19,51
33,53
12,30
23,30
25,49
33,62
44,62
41,75
25,58
33,71
22,34
44,71
25,67
37,32
45,36
34,45
45,45
37,41
34,54
45,54
46,19
37,50
22,61
46,28
38,24
46,37
14,66
38,33
49,33
18,36
15,49
7,45
18,45
15,58
26,58
36,81
7,54
18,54
27,32
19,28
8,37
19,37
30,37
11,33
25,44
25,62
45,40
22,47
34,49
42,38
32,79
37,45
45,49
45,58
46,23
37,54
15,17
38,19
24,84
35,84
46,32
38,28
49,28
38,37
49,37
36,67
47,67
48,41
7,49
18,49
48,50
48,59
30,32
11,28
33,34
29,82
40,82
10,41
10,50
33,52
22,24
14,20
22,33
45,35
25,66
34,44
37,49
15,12
