row,col,digit
0,0,0
0,2,0
0,3,0
0,4,1
0,5,1
0,6,1
0,8,0
0,10,1
0,11,0
0,13,1
0,14,1
0,15,0
0,17,0
0,19,0
0,20,0
0,22,0
0,23,0
0,25,0
0,29,0
0,30,1
0,31,0
0,33,0
0,34,1
0,35,1
0,36,0
0,37,1
0,38,1
0,39,0
0,41,0
0,42,1
0,44,0
0,47,0
0,50,0
0,51,1
0,54,0
0,57,0
0,59,1
0,60,1
0,61,0
0,63,1
0,66,0
0,70,1
0,71,0
0,72,0
0,72,1
0,74,0
0,77,0
0,78,1
0,79,1
0,80,1
0,81,0
0,82,0
0,84,1
0,86,0
0,88,0
0,89,0
0,90,0
0,94,0
0,1,1
0,7,1
0,9,1
0,12,1
0,18,1
0,21,0
0,26,1
0,27,1
0,28,1
0,58,1
0,62,1
0,64,1
0,67,1
0,68,1
0,69,0
0,75,1
0,76,1
0,83,1
0,85,1
0,87,1
0,91,1
0,92,1
0,95,1
0,96,0
26,49,1
1,21,0
1,77,0
1,0,0
1,1,1
1,2,1
1,3,1
1,4,0
1,6,1
1,7,0
1,8,0
1,9,0
1,10,1
1,11,0
1,12,1
1,13,0
1,14,0
1,15,0
1,16,0
1,17,1
1,19,1
1,22,1
1,25,0
1,26,1
1,30,1
1,33,0
1,58,0
1,63,0
1,67,1
1,69,1
1,74,0
1,75,1
1,78,0
1,80,0
1,82,1
1,83,0
1,90,0
1,93,0
1,94,0
1,96,0
1,18,1
1,23,1
1,27,1
1,28,0
1,29,1
1,31,1
1,31,1
1,34,1
1,35,1
1,59,1
1,60,0
1,61,1
1,62,0
1,64,1
1,66,0
1,68,1
1,70,0
1,72,1
1,76,1
1,79,1
1,81,1
1,84,1
1,85,1
1,86,1
1,87,1
1,88,0
1,89,0
1,91,1
1,92,0
1,95,1
1,97,1
1,71,1
2,11,0
2,73,0
2,74,1
2,84,1
2,90,1
2,95,0
2,0,0
2,1,1
2,3,0
2,5,1
2,8,0
2,9,1
2,13,0
2,14,1
2,15,1
2,16,0
2,17,1
2,19,0
2,20,0
2,21,1
2,22,0
2,23,1
2,25,0
2,26,1
2,28,0
2,66,0
2,68,1
2,69,1
2,70,0
2,71,0
2,72,1
2,75,1
2,76,1
2,77,1
2,78,0
2,79,0
2,80,0
2,82,0
2,83,0
2,85,0
2,86,0
2,88,0
2,89,1
2,91,0
2,92,1
2,93,1
2,96,1
2,2,1
2,6,0
2,10,1
2,18,1
2,27,1
2,87,0
2,94,0
2,97,0
2,81,1
2,7,1
3,5,0
3,8,0
3,23,0
3,80,1
3,81,0
3,84,1
3,89,0
3,91,1
3,0,0
3,1,0
3,2,1
3,3,1
3,7,0
3,9,0
3,10,1
3,12,0
3,13,0
3,14,1
3,15,0
3,16,0
3,17,0
3,18,1
3,20,0
3,21,0
3,22,1
3,68,1
3,70,0
3,72,1
3,73,1
3,74,0
3,75,1
3,77,1
3,78,0
3,79,1
3,82,1
3,83,0
3,85,0
3,86,0
3,87,0
3,88,0
3,90,0
3,93,0
3,94,1
3,95,1
3,96,1
3,97,1
3,11,1
3,19,1
3,76,1
3,92,1
3,68,0
4,68,0
4,0,0
4,3,0
4,16,0
4,74,0
4,86,0
4,87,1
4,88,0
4,89,0
4,90,0
4,94,0
4,95,1
4,96,1
4,97,0
4,1,1
4,2,1
4,5,1
4,6,0
4,7,1
4,8,0
4,12,1
4,13,1
4,14,0
4,15,1
4,17,1
4,18,1
4,19,1
4,75,1
4,76,1
4,77,0
4,78,0
4,79,1
4,80,1
4,81,1
4,82,0
4,83,0
4,84,1
4,91,1
4,92,1
4,9,1
4,10,1
4,11,0
5,0,0
5,12,0
5,13,0
5,14,1
5,15,0
5,16,0
5,18,1
5,20,0
5,74,0
5,76,0
5,78,0
5,80,1
5,81,0
5,82,1
5,84,1
5,90,0
5,1,1
5,2,1
5,3,0
5,4,1
5,5,1
5,6,1
5,7,1
5,8,0
5,9,1
5,11,1
5,18,1
5,79,0
5,83,1
5,85,1
5,86,0
5,87,1
5,88,1
5,89,1
5,91,1
5,92,1
