bit_index,pixel_y,pixel_x,sample_value,threshold,bit
0,110,56,65,45,1
1,110,108,83,45,1
2,110,160,48,45,1
3,110,212,84,45,1
4,110,264,89,45,1
5,110,316,69,45,1
6,110,368,38,45,0
7,110,420,95,45,1
8,140,56,20,45,0
9,140,108,68,45,1
10,140,160,38,45,0
11,140,212,36,45,0
12,140,264,67,45,1
13,140,316,38,45,0
14,140,368,84,45,1
15,140,420,64,45,1
16,170,56,76,45,1
17,170,108,81,45,1
18,170,160,77,45,1
19,170,212,27,45,0
20,170,264,79,45,1
21,170,316,46,45,1
22,170,368,90,45,1
23,170,420,45,45,0
24,200,56,30,45,0
25,200,108,64,45,1
26,200,160,74,45,1
27,200,212,29,45,0
28,200,264,87,45,1
29,200,316,53,45,1
30,200,368,91,45,1
31,200,420,50,45,1
32,230,56,63,45,1
33,230,108,67,45,1
34,230,160,66,45,1
35,230,212,82,45,1
36,230,264,89,45,1
37,230,316,55,45,1
38,230,368,75,45,1
39,230,420,81,45,1
40,260,56,31,45,0
41,260,108,85,45,1
42,260,160,88,45,1
43,260,212,67,45,1
44,260,264,79,45,1
45,260,316,55,45,1
46,260,368,97,45,1
47,260,420,78,45,1
48,290,56,78,45,1
49,290,108,87,45,1
50,290,160,39,45,0
51,290,212,89,45,1
52,290,264,87,45,1
53,290,316,73,45,1
54,290,368,66,45,1
55,290,420,92,45,1
56,320,56,39,45,0
57,320,108,48,45,1
58,320,160,71,45,1
59,320,212,84,45,1
60,320,264,68,45,1
61,320,316,83,45,1
62,320,368,61,45,1
63,320,420,96,45,1
64,350,56,20,45,0
65,350,108,27,45,0
66,350,160,28,45,0
67,350,212,37,45,0
68,350,264,44,45,0
69,350,316,46,45,1
70,350,368,61,45,1
71,350,420,74,45,1
72,380,56,18,45,0
73,380,108,23,45,0
74,380,160,25,45,0
75,380,212,34,45,0
76,380,264,37,45,0
77,380,316,49,45,1
78,380,368,65,45,1
79,380,420,73,45,1
80,410,56,20,45,0
81,410,108,23,45,0
82,410,160,27,45,0
83,410,212,33,45,0
84,410,264,39,45,0
85,410,316,60,45,1
86,410,368,68,45,1
87,410,420,72,45,1
88,440,56,18,45,0
89,440,108,110,45,1
90,440,160,116,45,1
91,440,212,145,45,1
92,440,264,40,45,0
93,440,316,59,45,1
94,440,368,73,45,1
95,440,420,77,45,1
96,470,56,19,45,0
97,470,108,56,45,1
98,470,160,77,45,1
99,470,212,66,45,1
100,470,264,185,45,1
101,470,316,67,45,1
102,470,368,73,45,1
103,470,420,76,45,1
104,500,56,19,45,0
105,500,108,25,45,0
106,500,160,59,45,1
107,500,212,64,45,1
108,500,264,49,45,1
109,500,316,70,45,1
110,500,368,73,45,1
111,500,420,78,45,1
112,530,56,21,45,0
113,530,108,26,45,0
114,530,160,30,45,0
115,530,212,37,45,0
116,530,264,54,45,1
117,530,316,95,45,1
118,530,368,74,45,1
119,530,420,81,45,1
120,560,56,20,45,0
121,560,108,25,45,0
122,560,160,30,45,0
123,560,212,36,45,0
124,560,264,56,45,1
125,560,316,58,45,1
126,560,368,76,45,1
127,560,420,85,45,1
128,590,56,21,45,0
129,590,108,25,45,0
130,590,160,31,45,0
131,590,212,39,45,0
132,590,264,55,45,1
133,590,316,70,45,1
134,590,368,81,45,1
135,590,420,91,45,1
136,620,56,25,45,0
137,620,108,26,45,0
138,620,160,31,45,0
139,620,212,41,45,0
140,620,264,55,45,1
141,620,316,83,45,1
142,620,368,88,45,1
143,620,420,91,45,1
144,650,56,27,45,0
145,650,108,65,45,1
146,650,160,44,45,0
147,650,212,55,45,1
148,650,264,63,45,1
149,650,316,86,45,1
150,650,368,87,45,1
151,650,420,98,45,1
152,680,56,88,45,1
153,680,108,56,45,1
154,680,160,66,45,1
155,680,212,96,45,1
156,680,264,137,45,1
157,680,316,171,45,1
158,680,368,87,45,1
159,680,420,95,45,1
160,710,56,87,45,1
161,710,108,77,45,1
162,710,160,87,45,1
163,710,212,94,45,1
164,710,264,67,45,1
165,710,316,94,45,1
166,710,368,95,45,1
167,710,420,94,45,1
168,740,56,53,45,1
169,740,108,44,45,0
170,740,160,43,45,0
171,740,212,68,45,1
172,740,264,65,45,1
173,740,316,97,45,1
174,740,368,122,45,1
175,740,420,99,45,1
176,770,56,30,45,0
177,770,108,72,45,1
178,770,160,46,45,1
179,770,212,50,45,1
180,770,264,72,45,1
181,770,316,82,45,1
182,770,368,94,45,1
183,770,420,109,45,1
184,800,56,77,45,1
185,800,108,93,45,1
186,800,160,88,45,1
187,800,212,51,45,1
188,800,264,88,45,1
189,800,316,82,45,1
190,800,368,95,45,1
191,800,420,102,45,1
192,830,56,29,45,0
193,830,108,69,45,1
194,830,160,46,45,1
195,830,212,50,45,1
196,830,264,71,45,1
197,830,316,86,45,1
198,830,368,90,45,1
199,830,420,103,45,1
200,860,56,80,45,1
201,860,108,75,45,1
202,860,160,68,45,1
203,860,212,56,45,1
204,860,264,61,45,1
205,860,316,89,45,1
206,860,368,97,45,1
207,860,420,102,45,1
208,890,56,84,45,1
209,890,108,95,45,1
210,890,160,93,45,1
211,890,212,96,45,1
212,890,264,95,45,1
213,890,316,94,45,1
214,890,368,91,45,1
215,890,420,95,45,1
216,920,56,56,45,1
217,920,108,37,45,0
218,920,160,96,45,1
219,920,212,81,45,1
220,920,264,76,45,1
221,920,316,79,45,1
222,920,368,88,45,1
223,920,420,90,45,1
224,950,56,72,45,1
225,950,108,36,45,0
226,950,160,82,45,1
227,950,212,57,45,1
228,950,264,51,45,1
229,950,316,90,45,1
230,950,368,89,45,1
231,950,420,93,45,1
232,980,56,24,45,0
233,980,108,33,45,0
234,980,160,39,45,0
235,980,212,44,45,0
236,980,264,53,45,1
237,980,316,69,45,1
238,980,368,87,45,1
239,980,420,100,45,1
240,1010,56,24,45,0
241,1010,108,29,45,0
242,1010,160,34,45,0
243,1010,212,41,45,0
244,1010,264,52,45,1
245,1010,316,63,45,1
246,1010,368,86,45,1
247,1010,420,97,45,1
248,1040,56,22,45,0
249,1040,108,28,45,0
250,1040,160,33,45,0
251,1040,212,39,45,0
252,1040,264,55,45,1
253,1040,316,59,45,1
254,1040,368,88,45,1
255,1040,420,95,45,1
256,1070,56,23,45,0
257,1070,108,29,45,0
258,1070,160,35,45,0
259,1070,212,39,45,0
260,1070,264,44,45,0
261,1070,316,60,45,1
262,1070,368,84,45,1
263,1070,420,98,45,1
264,1100,56,22,45,0
265,1100,108,28,45,0
266,1100,160,32,45,0
267,1100,212,37,45,0
268,1100,264,43,45,0
269,1100,316,64,45,1
270,1100,368,82,45,1
271,1100,420,96,45,1
272,1130,56,21,45,0
273,1130,108,34,45,0
274,1130,160,32,45,0
275,1130,212,38,45,0
276,1130,264,43,45,0
277,1130,316,130,45,1
278,1130,368,79,45,1
279,1130,420,95,45,1
280,1160,56,21,45,0
281,1160,108,28,45,0
282,1160,160,31,45,0
283,1160,212,37,45,0
284,1160,264,40,45,0
285,1160,316,60,45,1
286,1160,368,78,45,1
287,1160,420,95,45,1
288,1190,56,21,45,0
289,1190,108,30,45,0
290,1190,160,35,45,0
291,1190,212,41,45,0
292,1190,264,46,45,1
293,1190,316,60,45,1
294,1190,368,83,45,1
295,1190,420,95,45,1
296,1220,56,26,45,0
297,1220,108,33,45,0
298,1220,160,33,45,0
299,1220,212,38,45,0
300,1220,264,40,45,0
301,1220,316,59,45,1
302,1220,368,86,45,1
303,1220,420,99,45,1
304,1250,56,24,45,0
305,1250,108,50,45,1
306,1250,160,37,45,0
307,1250,212,44,45,0
308,1250,264,44,45,0
309,1250,316,69,45,1
310,1250,368,87,45,1
311,1250,420,103,45,1
312,1280,56,81,45,1
313,1280,108,33,45,0
314,1280,160,50,45,1
315,1280,212,100,45,1
316,1280,264,54,45,1
317,1280,316,84,45,1
318,1280,368,84,45,1
319,1280,420,95,45,1
320,1310,56,88,45,1
321,1310,108,69,45,1
322,1310,160,58,45,1
323,1310,212,85,45,1
324,1310,264,65,45,1
325,1310,316,82,45,1
326,1310,368,93,45,1
327,1310,420,93,45,1
328,1340,56,85,45,1
329,1340,108,89,45,1
330,1340,160,74,45,1
331,1340,212,58,45,1
332,1340,264,96,45,1
333,1340,316,74,45,1
334,1340,368,83,45,1
335,1340,420,106,45,1
336,1370,56,79,45,1
337,1370,108,52,45,1
338,1370,160,48,45,1
339,1370,212,62,45,1
340,1370,264,75,45,1
341,1370,316,101,45,1
342,1370,368,95,45,1
343,1370,420,94,45,1
